,commit_hash,file_path,filename,action,changes
0,1a146c726efcc7eccce508cb7251a88bc2fe1ce4,spring-cloud-alibaba-examples/nacos-example/nacos-config-example/src/main/resources/bootstrap.properties,bootstrap.properties,5,"{'added': [(37, 'spring.cloud.nacos.config.refresh-enabled=true')], 'deleted': [(37, '#spring.cloud.nacos.config.refresh-enabled=true')]}"
1,3009b162a0b78a0de6ba19336d9cad1f8c57c461,spring-cloud-alibaba-starters/spring-cloud-starter-dubbo/src/main/resources/META-INF/dubbo/org.apache.dubbo.rpc.cluster.RouterFactory,org.apache.dubbo.rpc.cluster.RouterFactory,1,"{'added': [(1, 'revisionRouter=com.alibaba.cloud.dubbo.service.MetadataServiceRevisionRouterFactory')], 'deleted': []}"
2,fb9521b2e6649c913995ca96012dd5a4b8a78465,spring-cloud-alibaba-starters/spring-cloud-starter-dubbo/src/main/resources/META-INF/dubbo/com.alibaba.cloud.dubbo.metadata.MetadataParamsFilter,com.alibaba.cloud.dubbo.metadata.MetadataParamsFilter,4,"{'added': [], 'deleted': [(1, 'default=com.alibaba.cloud.dubbo.metadata.DefaultMetadataParamsFilter')]}"
3,e4f2f4150c8e79d811a13d4bbbe3858fb3c3c09f,spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-client-sample/src/main/resources/bootstrap.yaml,bootstrap.yaml,5,"{'added': [(16, '        username: nacos'), (17, '        password: nacos'), (18, '        server-addr: 127.0.0.1:8848'), (19, '        namespace: public'), (20, ''), (21, 'server:'), (22, '  port: 8080')], 'deleted': [(15, '      username: nacos'), (16, '      password: nacos'), (18, '        server-addr: 127.0.0.1:8848')]}"
4,e4f2f4150c8e79d811a13d4bbbe3858fb3c3c09f,spring-cloud-alibaba-examples/spring-cloud-alibaba-dubbo-examples/spring-cloud-dubbo-server-sample/src/main/resources/bootstrap.yaml,bootstrap.yaml,5,"{'added': [(2, '  cloud:'), (3, '    subscribed-services: ${spring.application.name}')], 'deleted': []}"
5,a2b2c2f8c1fd81a9af9675ab864d27067b168f31,spring-cloud-alibaba-examples/nacos-example/nacos-discovery-example/nacos-discovery-consumer-example/src/main/resources/application.properties,application.properties,5,"{'added': [(5, 'spring.cloud.nacos.discovery.fail-fast=true')], 'deleted': []}"
6,479540c8357ef8e95b9005ed4bc8aaff3f2ca4d7,spring-cloud-alibaba-starters/spring-cloud-starter-dubbo/src/main/resources/META-INF/dubbo/com.alibaba.cloud.dubbo.metadata.MetadataParamsFilter,com.alibaba.cloud.dubbo.metadata.MetadataParamsFilter,1,"{'added': [(1, 'default=com.alibaba.cloud.dubbo.metadata.DefaultMetadataParamsFilter')], 'deleted': []}"
7,eaab60ebdb9b9d2bb866adb5b1d0efa1829385b7,spring-cloud-alibaba-examples/nacos-example/nacos-config-example/src/main/resources/bootstrap.properties,bootstrap.properties,5,"{'added': [(21, 'spring.cloud.nacos.config.shared-configs[0].data-id=test2.yaml'), (24, 'spring.cloud.nacos.config.shared-configs[0].group=GROUP_APP1'), (29, 'spring.cloud.nacos.config.extension-configs[0].data-id=extension1.properties'), (31, 'spring.cloud.nacos.config.extension-configs[1].data-id=test1.yml'), (32, 'spring.cloud.nacos.config.extension-configs[1].refresh=true')], 'deleted': [(21, 'spring.cloud.nacos.config.shared-configs[0].data-id= test2.yaml'), (24, 'spring.cloud.nacos.config.shared-configs[0].group= GROUP_APP1'), (29, 'spring.cloud.nacos.config.extension-configs[0].data-id= extension1.properties'), (31, 'spring.cloud.nacos.config.extension-configs[1].data-id= test1.yml'), (32, 'spring.cloud.nacos.config.extension-configs[1].refresh= true')]}"
8,dfa77475793e94d9c9dd8800852741c8b3cd79fa,spring-cloud-alibaba-starters/spring-cloud-starter-dubbo/src/main/resources/META-INF/spring.factories,spring.factories,5,"{'added': [(8, 'com.alibaba.cloud.dubbo.autoconfigure.DubboServiceDiscoveryAutoConfiguration,\\')], 'deleted': [(8, 'com.alibaba.cloud.dubbo.autoconfigure.DubboServiceDiscoveryAutoConfiguration'), (9, 'org.springframework.boot.actuate.autoconfigure.web.ManagementContextConfiguration=\\')]}"
9,5db4161acfb5acaffdb481f90d2af4d90ce42397,spring-cloud-alibaba-examples/nacos-example/nacos-config-example/src/main/resources/bootstrap.properties,bootstrap.properties,5,"{'added': [(8, ""## nacos-namespace cannot user 'public',cause by 'public' has special handing inside.""), (11, ""## you can specify a custom name if you don't want to use the application name.""), (12, '#spring.cloud.nacos.config.name=test-aaa'), (13, '#spring.cloud.nacos.config.file-extension=yaml'), (14, ''), (15, '## not recommended.'), (17, '## not recommended.'), (19, ''), (20, '## recommended.'), (23, ""## the default value is 'DEFAULT_GROUP' , if not specified.""), (24, 'spring.cloud.nacos.config.shared-configs[0].group= GROUP_APP1'), (26, '## not recommended.'), (28, '## recommended.')], 'deleted': [(9, 'spring.cloud.nacos.config.name=test-aaa'), (10, 'spring.cloud.nacos.config.file-extension=yaml'), (14, '#spring.cloud.nacos.config.shared-configs[0]= common333.properties'), (15, '#spring.cloud.nacos.config.shared-configs[1].data-id= common111.properties'), (16, '#spring.cloud.nacos.config.shared-configs[1].group= GROUP_APP1'), (17, '#spring.cloud.nacos.config.shared-configs[1].refresh= true'), (18, '#spring.cloud.nacos.config.shared-configs[2]= common222.properties')]}"
